,4 B,8 B,16 B,32 B,64 B,128 B,256 B,512 B,1 KB,2 KB,4 KB,8 KB,16 KB,32 KB,64 KB,128 KB,256 KB,512 KB,1 MB,2 MB,4 MB,8 MB
1 KB,88.48,88.19,88.23,88.34,87.72,88.05,89.05,0,,,,,,,,,,,,,,
2 KB,46.15,46.19,46.27,46.32,45.85,0,0,0,0,,,,,,,,,,,,,
4 KB,51.23,51.25,25.76,51.47,25.34,51.67,82.07,90.98,214.76,0,,,,,,,,,,,,
8 KB,46.89,47.54,64.89,65.76,48.2,47.56,69.49,117.28,223.9,15.64,0,,,,,,,,,,,
16 KB,52.92,85.89,157.81,276.42,276.23,281.34,292.57,317.86,394.18,253.1,245.57,0,,,,,,,,,,
32 KB,47.02,75.83,155.24,258,258,264.26,296.34,324.14,403.71,253.37,249.48,254.97,0,,,,,,,,,
64 KB,45.15,81.05,149.88,254.17,255.81,261.5,291.95,321.03,401.86,249.46,263.61,249.05,236.64,-7.96,,,,,,,,
128 KB,40.13,73.79,151.34,259.86,261.53,268.29,280.78,305.94,377.86,254.31,268.73,252.91,256.16,244.84,-7.25,,,,,,,
256 KB,42.88,77.31,146.72,254.84,257.53,263.65,293.11,320.25,356.32,257.8,278.06,291.34,320.39,250.69,239.76,-6.92,,,,,,
512 KB,41.27,75,142.99,250.14,253.26,277.14,298.16,336.01,431.85,408.72,542.8,540.67,540.67,540.67,536.44,236.83,-6.75,,,,,
1 MB,40.26,73.49,140.91,246.11,250.14,270.21,290.81,316.34,413.64,403.91,536.44,536.44,536.44,532.28,532.28,549.32,234.24,-6.65,,,,
2 MB,39.84,72.35,139.08,246.11,246.11,270.21,281.96,317.89,403.91,399.21,536.44,528.19,528.19,528.19,528.19,536.44,544.96,232.2,-6.6,,,
4 MB,39.33,71.85,137.64,242.2,261.49,270.21,284.43,311.78,408.72,399.21,520.19,520.19,520.19,520.19,520.19,536.44,536.44,536.44,230.2,-6.53,,
8 MB,38.53,70.88,136.24,238.42,261.49,270.21,279.53,311.78,373.18,390.14,532.94,532.94,532.94,532.94,532.94,532.94,532.94,536.44,536.44,230.2,-6.44,
16 MB,38.93,70.88,133.51,238.42,238.42,253.32,286.1,306.54,411.81,390.14,529.82,529.82,529.82,529.82,529.82,529.82,529.82,529.82,536.44,536.44,222.52,-6.44
